year,event_type,interaction,province,location,source,notes,tags,longitude,latitude
2020,Peaceful protest,Protesters only,Friesland,Drachten,Leeuwarder Courant,"On 1 January 2020, thousands of people staged a silent protest procession in Drachten against youth violence, in the context of a commemoration of a 16-year old boy who was stabbed two days earlier.",crowd size=thousands,6.0995,53.1049
2020,Peaceful protest,Protesters only,Noord-Holland,Amsterdam,AT 5,"On 6 January 2020, an unknown number of Extinction Rebellion activists staged a die-in protest action on the Dam in Amsterdam to raise awareness for climate crisis.",crowd size=no report,4.8985,52.371
2020,Peaceful protest,Protesters only,Zuid-Holland,Den Haag,AD,"On 6 January 2020, about 20 people, including the Iranian community, staged a protest in front of the Iranian embassy in Den Haag (Zuid-Holland), against the Iranian regime.",crowd size=about 20,4.3128,52.0795
2020,Peaceful protest,Protesters only,Zuid-Holland,Rotterdam,AD,"On 6 January 2020, around 50 XR activists staged a die-in protest action in front of the Markthal in Rotterdam (Zuid-Holland) to demand more climate action.",crowd size=around 50,4.4604,51.9214
2020,Peaceful protest,Protesters only,Gelderland,Nijmegen,AD,"On 6 January 2020, about 25 Extinction Rebellion activists staged a protest in front of the town hall in Nijmegen, to demand the municipality's attention for climate change.",crowd size=about 25,5.8528,51.8425
2020,Peaceful protest,Protesters only,Zuid-Holland,Wassenaar,Regio15,"On 7 January 2020, around 50 people from Iranian descent staged a protest in front of the American Embassy in Wassenaar against the killing of Iranian General Soleimani.",crowd size=around 50,4.4021,52.1407
2020,Peaceful protest,Protesters only,Noord-Brabant,Ulvenhout,AD; Omroep Brabant,"On 8 January 2020, an unknown number of students staged a protest action by forming a bicycle procession between Chaam and Ulvenhout, to criticize the lack of proper illumination of that road. A councilor of the VVD party took part in the protest.",crowd size=no report,4.7995,51.5487
2020,Peaceful protest,Protesters only,Limburg,Maastricht,1limburg.nl,"On 11 January 2020, around 50 people staged a protest at the Markt in Maastricht against the killing of Iranian General Soleimani and imminent war with Iran.",crowd size=around 50,5.6889,50.8483
2020,Peaceful protest,Protesters only,Noord-Holland,Amsterdam,AD,"On 11 January 2020, over 100 people protested in Amsterdam, after the imminent threat of military escalation after the assassination of the Iranian general Soleimani by a U.S. drone. A group of Iranian women living in Amsterdam attended, as well as an MP from the Socialist Party and an Amsterdam councilor from the GreenLeft party.",crowd size=over 100,4.8985,52.371
2020,Peaceful protest,Protesters only,Noord-Holland,Amsterdam,AT 5,"On 12 January 2020, around 100 people staged a protest on the Kattenburgstraat in Amsterdam against the municipal plans to make the city center carfree, resulting in more traffic in their neighbourhood.",crowd size=around 100,4.8985,52.371
2020,Peaceful protest,Protesters only,Noord-Holland,Amsterdam,NRC Handelsblad,"On 13 January 2020, an unknown number of judicial interpreters staged a protest at the judicial court in Amsterdam against the cuts in their wages and the danger this entails for the quality of their service.",crowd size=no report,4.8985,52.371
2020,Peaceful protest,Protesters only,Zuid-Holland,Strijen,AD; RTV Rijnmond,"On 13 January 2020, an unknown number of employees of a distribution center of the wholesaler Technische Unie protested in Strijen (Zuid-Holland), to demand better working conditions and higher wages. Among the protesters were representatives of the labor union FNV.",crowd size=no report,4.5552,51.7428
2020,Peaceful protest,Protesters only,Noord-Holland,Amsterdam,AD,"On 14 January 2020, about 50 interpreters and translators protested in front of the court hall in Amsterdam, against governmental budget cuts in their sector.",crowd size=about 50,4.8985,52.371
2020,Peaceful protest,Protesters only,Zuid-Holland,Maasvlakte Rotterdam,AD,"On 14 January 2020, about 100 port workers staged a protest in Maasvlakte Rotterdam, blocking the entrance to a container terminal for traffic, to demand more certainty about their future working conditions after their company was sold to a different owner.",crowd size=about 100,4.0461,51.953
2020,Peaceful protest,Protesters only,Gelderland,Arnhem,Omroep Gelderland,"On 15 January 2020, an unknown number of judicial interpreters staged a protest at the judicial palace in Arnhem against the cuts in their wages and the danger this entails for the quality of their service.",crowd size=no report,5.9149,51.9815
2020,Peaceful protest,Protesters only,Gelderland,Arnhem,Omroep Gelderland,"On 15 January 2020, an unknown number of people staged a protest in the Provincial Hall of Arnhem against the burning of biomass.",crowd size=no report,5.9149,51.9815
2020,Peaceful protest,Protesters only,Limburg,Schinveld,De Limburger,"On 15 January 2020, around 50 people staged a loud protest in Schinveld against the noise pollution caused by Awacs airplanes, during the visit of State Secretary of Defense.",crowd size=around 50,5.9769,50.9701
2020,Peaceful protest,Protesters only,Zuid-Holland,Strijen,Trouw,"On 15 January 2020, tenfolds of workers staged a protest action at the call of Federation of Dutch Trade Unions in front of the Technische Unie distribution center in Strijen, to demand a wage increase of 5 %.",crowd size=tenfolds,4.5552,51.7428
2020,Peaceful protest,Protesters only,Zuid-Holland,Den Haag,Westonline,"On 15 January 2020, an unknown number of students of the Edith Stein College in Den Haag staged a protest against changes in their school policy.",crowd size=no report,4.3128,52.0795
2020,Peaceful protest,Protesters only,Noord-Brabant,Den Bosch,AD,"On 15 January 2020, about 50 interpreters and translators protested in Den Bosch (Noord-Brabant), against governmental budget cuts in their sector. The protest was organized by the action group Actiegroep Registertolken en -vertalers.",crowd size=about 50,5.3064,51.6879
2020,Peaceful protest,Protesters only,Noord-Holland,Amsterdam,AD,"On 15 January 2020, about 30 people protested in front of a real estate company in Amsterdam (Noord-Holland), against the presence of lead in the water supply pipes of their homes, which are owned by the company. Among the protesters were representatives of the party SP.",crowd size=about 30,4.8985,52.371
2020,Peaceful protest,Protesters only,Zeeland,Middelburg,Omroep Zeeland,"On 16 January 2020, around 20 parents staged a protest in front of the judicial court in Middelburg against the forced internment of children by youth care organizations.",crowd size=around 20,3.6148,51.4991
